id_personnel,nom,prenom,date_de_naissance,num_telephone_perso,email,rib,adresse_perso,ville_perso,code_postale_perso,date_entree,status_employee,en_formation,nbr_de_changement_poste,nbr_de_changement_resto,pays_perso,id_resto
0,Blanchard,Bernier,1977-09-23,+33 (0)5 32 20 73 60,Bernier.Blanchard@morvan.com,FR6103107371829266605706544,"768, chemin de Moreno, 81266 Delahaye",Delahaye,56667,2006-11-11,manager,1,2,2,Italy,0
1,Bouvet,Pinto,1975-04-21,+33 (0)5 18 18 55 54,Pinto.Bouvet@duval.com,FR7605924070214875941965942,"73, chemin de Maillet, 88807 HernandezVille",HernandezVille,56029,1997-09-24,manager,0,1,0,Italy,1
2,Guillou,Fernandes,1974-09-01,0413806417,Fernandes.Guillou@vallet.net,FR3532369708901141506326120,"9, avenue Marguerite Pages, 49529 Rémy",Rémy,56724,2006-10-21,manager,0,5,0,France,2
3,Evrard,Gimenez,1957-01-04,+33 1 42 92 30 03,Gimenez.Evrard@perez.fr,FR1986420367900341567762563,"2, rue Caron, 06908 Mathieu",Mathieu,56134,2000-07-04,directeur,1,2,1,France,3
4,Pichon,Olivier,1954-05-20,03 60 75 86 58,Olivier.Pichon@voisin.com,FR9841493184757666585835381,"avenue Sébastien Ollivier, 59972 Launay",Launay,56808,1993-08-09,manager,1,5,1,Italy,4
5,Durand,Hoareau,1969-11-16,02 18 33 86 61,Hoareau.Durand@rousset.fr,FR4615279448111641835844922,"84, rue de Renaud, 86211 Roussel",Roussel,56131,2007-12-30,employee,0,2,3,Italy,5
6,Moulin,Hubert,1970-12-26,03 54 94 97 88,Hubert.Moulin@rodrigues.fr,FR6127234360476209819004587,"18, rue Capucine Fournier, 97747 Leblanc",Leblanc,56459,2003-09-14,employee,0,0,2,Germany,6
7,Millet,Reynaud,1999-01-23,+33 (0)3 69 85 04 63,Reynaud.Millet@carpentier.com,FR3087378065859084151242942,"7, rue Sabine Vasseur, 66924 GosselinBourg",GosselinBourg,56925,2013-05-24,employee,1,3,0,Germany,7
8,Charles,Gaudin,1988-04-05,+33 (0)5 35 15 83 75,Gaudin.Charles@seguin.org,FR2057749777222411186296380,"80, rue de Léger, 40963 Saint Élisabeth",Élisabeth,56775,1993-01-20,employee,1,1,0,France,8
9,Leroy,Dubois,1969-12-31,+33 (0)4 50 83 13 55,Dubois.Leroy@leclerc.com,FR7766147498055927984068194,"6, boulevard Cécile Lejeune, 44602 LelièvreBourg",LelièvreBourg,56257,2010-09-11,manager,1,2,1,France,9
10,Toussaint,Arnaud,2003-10-15,07 90 65 39 34,Arnaud.Toussaint@roux.fr,FR1771208806209690099458976,"chemin de Fournier, 76333 Dufour",Dufour,56285,2014-04-04,manager,1,3,0,Italy,10
11,Legros,Hamel,1971-08-09,+33 4 73 30 61 27,Hamel.Legros@bailly.com,FR0816471034408975265085889,"95, rue Bouchet, 03467 Sainte Lucas",Lucas,56815,2001-06-15,employee,1,5,2,France,11
12,Texier,Martinez,1987-05-15,+33 (0)2 57 84 25 71,Martinez.Texier@blot.org,FR6315089461215376047931229,"1, chemin de Guyon, 74167 Rossi",Rossi,56779,2020-01-29,employee,0,1,0,France,12
13,Humbert,Gomes,1978-07-28,+33 4 23 48 65 13,Gomes.Humbert@seguin.fr,FR4845493485898815123987887,"65, rue Muller, 53994 Sainte Éric",Éric,56457,2012-12-11,directeur,0,4,2,France,13
14,Gomes,Pierre,2004-11-17,+33 3 85 78 89 75,Pierre.Gomes@jacquet.com,FR4685404804817571765875036,"rue Weiss, 30840 GrondinVille",GrondinVille,56522,2019-04-27,manager,1,3,3,Italy,14
15,Poirier,Dupuis,1971-06-19,0236442839,Dupuis.Poirier@tessier.com,FR3591616868957876492956186,"62, boulevard Émile Lopez, 27281 Le Goff",Goff,56999,2007-08-14,manager,0,1,3,Italy,15
16,Brunel,Guillou,1979-09-23,0355775980,Guillou.Brunel@bertin.fr,FR3227521074200433251761147,"33, boulevard Picard, 56159 Chauveau",Chauveau,56624,2006-03-23,manager,1,5,2,Germany,16
17,Lemoine,Chrétien,2000-05-21,+33 (0)2 46 87 30 73,Chrétien.Lemoine@lemoine.fr,FR5443697545285089454907692,"43, rue Robin, 07766 Saint Astrid",Astrid,56167,1996-07-17,manager,0,5,0,Italy,17
18,Legrand,Bousquet,1965-12-03,+33 (0)1 44 25 55 27,Bousquet.Legrand@lemoine.fr,FR4527872525101957952770803,"91, chemin de Dupré, 47577 ChrétienVille",ChrétienVille,56468,1997-11-28,manager,1,4,1,Italy,18
19,Mercier,Hoareau,2003-06-22,+33 (0)5 33 89 54 63,Hoareau.Mercier@cordier.com,FR8367630592577266083602179,"rue Simon, 46196 Vaillant",Vaillant,56906,1993-01-17,employee,0,0,3,Italy,19
20,Rey,Dufour,1955-08-08,+33 4 75 72 31 90,Dufour.Rey@renaud.com,FR1385433260492323504150057,"4, chemin Eugène Masson, 39291 MartyVille",MartyVille,56582,1994-03-17,employee,0,3,0,Germany,20
21,Merle,Costa,1989-08-18,+33 1 69 35 21 71,Costa.Merle@poirier.net,FR6627590462270495108232727,"rue de Foucher, 12770 Bonneau",Bonneau,56420,1995-10-12,manager,0,0,1,Italy,21
